,City,Temperature (k),Latitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Rikitea,297.553,-23.12,79,19,1.06
1,Ovre Ardal,276.453,61.32,72,33,1.81
2,Irtyshskiy,286.353,58.33,90,100,5.9
3,New Norfolk,284.88,-42.78,58,75,7.7
4,Ushuaia,278.15,-54.81,86,75,1.5
5,Bredasdorp,288.89,-34.53,72,13,7.7
6,Dikson,273.353,73.51,93,52,3.37
7,Atuona,301.253,-9.8,77,42,8.54
8,Busselton,289.82,-33.64,40,84,3.13
9,Cape Town,288.25,-33.93,58,75,5.7
10,San Juan,304.55,14.6,66,75,4.1
11,Norsup,302.15,-16.07,70,30,3.6
12,Jamestown,286.053,-33.21,45,0,4.08
13,La Ronge,290.15,55.1,48,40,3.6
14,Nanortalik,276.153,60.14,85,18,0.21
15,Foxton,284.73,-40.47,90,100,0.89
16,Cherskiy,279.253,68.75,38,0,7.31
17,Port Alfred,290.93,-33.59,85,3,3.13
18,Hilo,296.35,19.71,61,20,4.1
19,Hermanus,286.75,-34.42,77,60,8.49
20,Vaini,295.15,15.34,100,82,1.5
21,Benguela,297.253,-12.58,77,0,2.69
22,Mataura,280.753,-46.19,69,44,3.3
23,Mayo,291.15,63.59,25,75,5.1
24,Sioux Lookout,285.6,50.1,82,90,2.6
25,Torbay,284.35,47.66,100,90,6.2
26,Punta Arenas,278.15,-53.16,93,90,2.6
27,Kapaa,299.82,22.08,78,90,7.7
28,Greenwood,300.86,32.03,48,24,3.6
29,Namibe,294.753,-15.19,75,0,1.31
30,Mokhsogollokh,292.953,61.4,62,100,2.72
31,Kodiak,300.11,39.95,36,40,3.6
32,Bluff,292.953,-23.58,24,100,5.36
33,Bastrop,300.83,32.78,94,1,0.73
34,Alamos,287.053,-36.9,79,100,6.12
35,Poronaysk,286.753,49.22,68,89,2.9
36,Guerrero Negro,291.753,27.97,87,0,5.45
37,Raudeberg,283.92,61.99,81,62,2.1
38,Chokurdakh,277.753,70.62,54,90,3.15
39,Cockburn Town,300.553,21.46,81,1,5.35
40,Taman,293.87,45.22,88,0,4.0
41,Umm Lajj,303.753,25.02,69,0,6.11
42,Grindavik,278.68,63.84,75,75,8.2
43,Kavieng,302.253,-2.57,73,98,3.58
44,Kaitangata,279.953,-46.28,69,23,5.35
45,Santa Vitoria do Palmar,285.653,-33.52,73,0,2.8
46,Thompson,283.15,55.74,76,90,3.1
47,Sistranda,283.75,63.73,93,20,4.1
48,Hambantota,299.15,6.12,100,20,1.5
49,Pevek,272.853,69.7,89,38,3.9
50,Ushtobe,297.153,45.25,44,96,8.35
51,Lebu,286.053,8.96,74,76,0.44
52,Prince Albert,295.15,53.2,24,20,8.2
53,Olavarria,285.453,-36.89,82,100,6.85
54,Borovoy,280.853,63.23,58,99,2.91
55,Puerto Ayora,297.58,-0.74,69,20,7.2
56,Arraial do Cabo,294.653,-22.97,72,19,6.71
57,Luanda,295.15,-8.83,88,90,2.1
58,Muzhi,274.753,65.4,98,100,4.35
59,Hailar,288.953,49.2,46,7,7.45
60,Hasaki,296.9,35.73,73,75,2.1
61,Livani,287.653,56.35,95,0,1.47
62,Vila Franca do Campo,289.15,37.72,67,20,2.6
63,Tuktoyaktuk,281.15,69.44,61,75,6.7
64,Makaryev,288.153,57.88,69,1,3.6
65,Sao Joao da Barra,288.153,-21.64,76,0,1.61
66,Georgetown,300.36,6.8,94,20,3.1
67,Alabaster,299.98,33.24,48,20,1.67
68,Mar del Plata,284.153,-46.43,57,67,11.51
69,Port Elizabeth,290.62,39.31,67,1,3.42
70,Suifenhe,298.053,44.39,38,0,0.8
71,Kempsey,288.71,-31.08,69,41,1.34
72,Constitucion,298.43,23.99,31,75,5.7
73,Yellowknife,281.01,62.45,93,90,4.1
74,Ballachulish,282.59,56.68,94,100,2.68
75,Vila do Maio,295.15,15.13,78,40,1.0
76,Iqaluit,274.97,63.75,59,75,2.1
77,Mount Gambier,284.15,-37.83,81,90,3.1
78,Manokwari,301.753,-0.87,59,50,2.44
79,Troitskoye,291.953,52.98,60,1,2.29
80,Albany,284.24,42.65,76,90,0.89
81,Carauari,295.853,-4.88,95,67,0.6
82,Saint Stephen,291.48,45.7,93,1,1.23
83,Jacareacanga,297.353,-6.22,79,1,0.42
84,Bayan,283.653,47.25,52,100,4.62
85,Coquimbo,287.27,-29.95,93,20,2.1
86,Plettenberg Bay,287.353,-34.05,81,37,2.99
87,Hithadhoo,302.653,-0.6,73,100,5.34
88,Turgutlu,287.07,38.5,81,0,0.5
89,San Francisco del Mar,300.553,16.34,78,100,2.6
90,Omboue,297.353,-1.57,83,99,4.61
91,Ostrovnoy,282.353,68.05,85,100,5.49
92,Alofi,299.15,-19.06,69,75,7.2
93,Tateyama,301.46,36.66,54,75,1.0
94,Pasni,306.853,25.26,41,99,3.59
95,Kenai,288.21,60.55,71,1,5.7
96,Nantucket,288.21,41.28,82,1,5.1
97,Hobyo,300.153,5.35,66,100,10.2
98,Central Point,301.48,42.38,16,1,5.1
99,Paamiut,277.253,61.99,76,81,3.16
100,Okato,286.53,-39.19,94,100,7.71
101,Xiongzhou,304.83,32.34,58,100,3.0
102,Gubkinskiy,291.753,64.43,33,98,3.91
103,Castro,283.15,-42.48,93,20,7.7
104,La Asuncion,280.853,-1.64,90,100,2.95
105,Narsaq,282.15,60.91,49,28,1.5
106,Poum,281.153,41.28,93,58,0.65
107,Ivanovka,293.15,42.89,56,0,5.0
108,Ozernovskiy,282.153,51.5,77,99,0.9
109,Evensk,287.853,61.92,53,73,1.97
110,Botshabelo,278.15,-29.23,75,0,1.0
111,Shaoyang,299.953,27.23,75,100,3.15
112,Avarua,298.15,-21.21,73,61,5.1
113,Santa Cruz de Tenerife,292.3,28.47,100,90,10.3
114,Chuy,288.153,-33.69,64,3,5.0
115,Awbari,302.453,26.59,30,0,2.65
116,Veraval,285.72,49.65,87,75,3.6
117,Pisco,290.72,-13.71,77,90,6.2
118,San Cristobal,284.65,-0.39,72,40,3.1
119,Taoudenni,305.753,22.68,7,36,2.54
120,Piney Green,297.23,35.09,69,1,3.12
121,Swellendam,289.15,-34.02,72,39,7.7
122,Provideniya,278.15,64.42,80,20,5.0
123,Upernavik,274.153,72.79,89,96,0.43
124,San Patricio,286.0,-26.98,92,0,1.98
125,Flinders,285.41,-34.58,58,75,6.7
126,Faya,292.18,18.39,63,0,0.99
127,Arhus,286.55,56.16,82,0,8.7
128,Caravelas,297.653,-17.73,71,98,6.31
129,Nueva Imperial,285.15,-38.75,93,75,4.6
130,Fortuna,291.17,38.18,82,0,6.79
131,Sur,307.253,22.57,38,20,4.5
132,Katsuura,296.15,33.93,83,75,2.1
133,Qaqortoq,282.15,60.72,49,28,1.5
134,Bezhetsk,286.653,57.78,80,0,2.61
135,Orbetello,288.04,42.44,93,0,2.1
136,Saint-Philippe,284.13,45.36,71,1,6.7
137,Shagonar,288.653,51.54,44,11,2.1
138,Churapcha,299.653,62.0,29,88,0.64
139,Kadoma,282.653,-18.34,65,0,1.76
140,Sunrise Manor,308.34,36.21,9,1,2.1
141,Alugan,304.753,12.22,62,27,2.68
142,Iskateley,280.753,67.68,59,79,5.77
143,Samarai,297.953,-10.62,94,98,2.8
144,Beringovskiy,286.753,63.05,55,96,5.13
145,Dingle,307.853,11.0,40,62,4.35
146,Puerto Leguizamo,295.153,-0.19,98,100,0.82
147,Bandarbeyla,299.753,9.49,74,100,5.73
148,Katobu,302.453,-4.94,70,30,2.23
149,Tungor,278.253,53.39,87,57,3.77
150,Bulgan,287.153,48.81,39,100,2.9
151,Sao Jose da Coroa Grande,295.253,-8.9,90,12,1.99
152,Butaritari,302.553,3.07,79,83,6.52
153,Zhangye,295.253,38.94,25,34,2.57
154,Tasiilaq,278.15,65.61,44,1,3.6
155,Zarinsk,290.053,53.71,70,85,3.24
